State,County,Preventable Hospital Stays,PCP Number,PCP Rate,MHP Number,MHP Rate,Smoking %,Obesity %,Physical Inactivy %,Mammogram %,Flu Vaccine %,Income 80%,Income 20%,Life Expectancy
Louisiana,St. Helena,8670.0,2.0,19.0,9.0,89.0,27,26,36,35.0,33.0,95333.0,14832.0,74.762927598
Louisiana,St. James,4740.0,5.0,24.0,12.0,57.0,23,43,36,44.0,42.0,118872.0,17419.0,76.648846513
Louisiana,St. John the Baptist,4359.0,12.0,28.0,126.0,294.0,22,48,32,43.0,38.0,105874.0,21408.0,74.590630276
Louisiana,St. Landry,6251.0,57.0,69.0,185.0,225.0,28,37,32,46.0,47.0,84892.0,13026.0,72.676530538
Louisiana,St. Martin,4030.0,9.0,17.0,23.0,43.0,26,34,32,46.0,43.0,97886.0,18800.0,76.299924839
Louisiana,St. Mary,4953.0,27.0,54.0,62.0,126.0,26,43,35,39.0,43.0,80386.0,17098.0,75.399125203
Louisiana,St. Tammany,5506.0,209.0,81.0,646.0,248.0,19,29,22,45.0,46.0,135041.0,27313.0,78.347541999
Louisiana,Tangipahoa,8371.0,53.0,40.0,299.0,222.0,24,40,33,38.0,41.0,99493.0,17943.0,75.201920885
Louisiana,Terrebonne,5499.0,44.0,40.0,241.0,218.0,26,42,29,41.0,47.0,104667.0,18421.0,75.36926421
Louisiana,Union,6791.0,2.0,9.0,24.0,109.0,25,38,36,40.0,43.0,90457.0,15204.0,76.020615993
Louisiana,Vermilion,5179.0,20.0,33.0,26.0,44.0,24,41,36,43.0,43.0,101843.0,21070.0,77.071123112
Louisiana,Vernon,8884.0,18.0,37.0,78.0,164.0,24,37,26,27.0,39.0,92396.0,20937.0,75.065627743
Louisiana,Washington,7839.0,9.0,19.0,71.0,154.0,29,43,33,39.0,44.0,80556.0,16102.0,72.0500781
Louisiana,Webster,6251.0,25.0,64.0,92.0,240.0,27,36,32,40.0,39.0,63379.0,13112.0,74.065094871
Louisiana,West Baton Rouge,3487.0,4.0,15.0,15.0,57.0,22,34,27,43.0,50.0,126163.0,26811.0,78.702985036
Louisiana,West Carroll,12099.0,2.0,18.0,4.0,37.0,28,42,32,37.0,26.0,81078.0,15475.0,75.098790729
Louisiana,West Feliciana,3309.0,11.0,71.0,16.0,103.0,22,30,23,38.0,51.0,142000.0,24433.0,77.722509157
Louisiana,Winn,9470.0,8.0,57.0,4.0,29.0,27,44,33,35.0,41.0,88310.0,16123.0,74.948278495
Maine,Androscoggin,3280.0,94.0,87.0,529.0,489.0,22,33,23,42.0,49.0,102777.0,23393.0,77.136498091
Maine,Aroostook,5412.0,74.0,110.0,379.0,565.0,23,38,31,55.0,37.0,85636.0,16628.0,78.647157756
Maine,Cumberland,2565.0,492.0,168.0,2158.0,732.0,14,23,15,45.0,55.0,135744.0,31100.0,80.230610457
Maine,Franklin,3020.0,32.0,107.0,89.0,295.0,20,32,22,51.0,43.0,92988.0,22284.0,78.117115281
Maine,Hancock,3343.0,78.0,142.0,222.0,404.0,18,27,18,45.0,52.0,108041.0,24742.0,79.645812665
Maine,Kennebec,3243.0,147.0,120.0,627.0,513.0,22,32,22,46.0,48.0,103667.0,23065.0,78.067466226
Maine,Knox,2440.0,40.0,101.0,213.0,536.0,18,28,17,48.0,50.0,107182.0,25491.0,79.003567624
Maine,Lincoln,3661.0,39.0,114.0,74.0,214.0,19,25,19,43.0,37.0,104322.0,24812.0,80.234647918
Maine,Oxford,3009.0,35.0,61.0,150.0,259.0,22,32,24,48.0,34.0,92094.0,21942.0,77.460707338
Maine,Penobscot,4273.0,196.0,130.0,853.0,561.0,22,34,24,42.0,43.0,99179.0,20811.0,77.661295856
